-0.000000,0.000401,0.475732,0.000508,-0.000000,-0.000000,-0.000000,ovf,0.000003,-0.061419,-0.000000,ovf,0.000000,ovf,-251194.359375,ovf,-0.000001,ovf
-0.110000,5.920285,0.000000,0.002704,-0.001592,0.000000,-0.001990,0.006083,6.714575,0.045781,-0.035793,-78.829506,0.000144,-0.001592,0.000000,0.000000,0.000000,0.000000
-3.750000,-4.921509,0.000000,-0.003036,-0.054281,0.000000,-0.004405,0.052610,-4.962087,0.060913,-0.093921,192.021912,0.000048,0.003385,0.000000,0.000000,0.000000,0.000000
-2.850000,1.302752,0.000000,-0.003038,-0.041254,0.000000,-0.004453,0.039129,1.311770,0.057528,-0.069855,-50.762638,0.000131,-0.001156,0.000000,0.000000,0.000000,0.000000
0.620000,5.022834,0.000000,-0.002634,0.008975,0.000000,-0.004584,-0.012140,5.097347,0.058684,0.029513,-144.846054,0.000063,-0.002661,0.000000,0.000000,0.000000,0.000000
-3.130000,-5.428135,0.000000,-0.002088,-0.045307,0.000000,-0.004648,0.046452,-5.565222,0.061345,-0.141519,126.198784,0.000020,0.002012,0.000000,0.000000,0.000000,0.000000
-1.670000,2.113354,0.000000,-0.001727,-0.024173,0.000000,-0.004668,0.024945,2.188443,0.059333,-0.090440,-41.699955,0.000109,-0.001038,0.000000,0.000000,0.000000,0.000000
6.360000,11.623446,0.000000,-0.001314,0.092061,0.000000,-0.004777,-0.107893,12.216558,0.060371,0.449293,-202.672501,-0.000061,-0.002620,0.000000,0.000000,0.000000,0.000000
-7.410000,-19.932112,0.000000,-0.000564,-0.107260,0.000000,-0.004716,0.128851,-21.297520,0.062992,-0.600430,315.743500,-0.000055,0.004359,0.000000,0.000000,0.000000,0.000000
3.880000,16.342304,0.000000,-0.000410,0.056163,0.000000,-0.004661,-0.071743,17.774353,0.058632,0.366715,-240.229294,0.000143,-0.003565,0.000000,0.000000,0.000000,0.000000
-1.070000,-7.165138,0.000000,0.000221,-0.015488,0.000000,-0.004804,0.021010,-7.959355,0.062197,-0.115961,99.626625,-0.000094,0.001579,0.000000,0.000000,0.000000,0.000000
0.480000,2.243629,0.000000,0.000642,0.006948,0.000000,-0.004710,-0.008928,2.541229,0.060618,0.052540,-29.834185,0.000024,-0.000426,0.000000,0.000000,0.000000,0.000000
0.450000,-0.043425,0.000000,0.001132,0.006514,0.000000,-0.004734,-0.008095,-0.056942,0.061044,0.050265,0.633540,-0.000023,0.000149,0.000000,0.000000,0.000000,0.000000
-6.960000,-6.687462,0.000000,-0.002724,-0.100746,0.000000,-0.003896,0.100483,-6.741872,0.052197,-0.179386,260.895721,0.000144,0.004455,0.000000,0.000000,0.000000,0.000000
-2.340000,6.687462,0.000000,-0.002873,-0.033872,0.000000,-0.004040,0.031739,6.739548,0.047742,-0.056661,-260.805817,0.000213,-0.005100,0.000000,0.000000,0.000000,0.000000
-10.590000,-11.941896,0.000000,-0.002503,-0.153291,0.000000,-0.004253,0.157684,-12.125039,0.052842,-0.383358,344.544739,0.000197,0.005496,0.000000,0.000000,0.000000,0.000000
1.410000,17.370031,0.000000,-0.002539,0.020410,0.000000,-0.004450,-0.024665,17.799295,0.047346,0.075143,-403.622681,0.000270,-0.007449,0.000000,0.000000,0.000000,0.000000
1.560000,0.217125,0.000000,-0.002049,0.022581,0.000000,-0.004720,-0.027372,0.222680,0.054795,0.099239,-4.243085,-0.000070,0.000202,0.000000,0.000000,0.000000,0.000000
-1.270000,-4.096432,0.000000,-0.001570,-0.018383,0.000000,-0.004649,0.019427,-4.309446,0.054593,-0.080900,71.493629,-0.000029,0.001135,0.000000,0.000000,0.000000,0.000000
-8.970000,-11.145771,0.000000,-0.001225,-0.129841,0.000000,-0.004621,0.155322,-11.910174,0.053459,-0.723782,176.572662,0.000195,0.001383,0.000000,0.000000,0.000000,0.000000
1.820000,15.618552,0.000000,-0.001220,0.026345,0.000000,-0.004815,-0.034956,16.987869,0.052075,0.178680,-229.599609,0.000227,-0.003867,0.000000,0.000000,0.000000,0.000000
5.580000,5.442610,0.000000,-0.000766,0.080771,0.000000,-0.005042,-0.109050,6.038003,0.055942,0.601878,-75.577209,-0.000181,0.000204,0.000000,0.000000,0.000000,0.000000
-0.480000,-8.771865,0.000000,-0.000160,-0.006948,0.000000,-0.004861,0.009611,-9.961988,0.055738,-0.056556,116.954346,-0.000162,0.002061,0.000000,0.000000,0.000000,0.000000
-6.410000,-12.028746,0.000000,-0.001380,-0.092785,0.000000,-0.002262,0.093680,-12.125350,0.038764,-0.167241,469.224548,0.000024,0.008429,0.000000,0.000000,0.000000,0.000000
-4.470000,2.808155,0.000000,-0.001539,-0.064703,0.000000,-0.002287,0.064674,2.829777,0.030336,-0.115458,-109.506187,0.000228,-0.002401,0.000000,0.000000,0.000000,0.000000
-0.910000,5.153109,0.000000,-0.001425,-0.013172,0.000000,-0.002515,0.012284,5.230408,0.032737,-0.029865,-148.627090,0.000132,-0.002891,0.000000,0.000000,0.000000,0.000000
9.800000,15.502752,0.000000,-0.001156,0.141855,0.000000,-0.002647,-0.153709,15.886003,0.035628,0.468282,-360.236206,-0.000115,-0.005549,0.000000,0.000000,0.000000,0.000000
-0.900000,-15.488277,0.000000,-0.000412,-0.013028,0.000000,-0.002532,0.014020,-16.060808,0.041177,-0.050830,306.032623,-0.000266,0.005667,0.000000,0.000000,0.000000,0.000000
2.330000,4.675433,0.000000,-0.000145,0.033727,0.000000,-0.002266,-0.039138,4.913220,0.035509,0.162979,-81.510239,-0.000012,-0.001113,0.000000,0.000000,0.000000,0.000000
-0.920000,-4.704383,0.000000,0.000262,-0.013317,0.000000,-0.002253,0.016399,-5.028265,0.036622,-0.076416,74.545853,-0.000051,0.001207,0.000000,0.000000,0.000000,0.000000
0.260000,1.708053,0.000000,0.000530,0.003764,0.000000,-0.002202,-0.004101,1.855285,0.035415,0.020961,-25.075113,0.000024,-0.000420,0.000000,0.000000,0.000000,0.000000
2.620000,3.416106,0.000000,0.000851,0.037925,0.000000,-0.002227,-0.049583,3.788967,0.035836,0.273665,-47.426201,-0.000062,-0.000157,0.000000,0.000000,0.000000,0.000000
5.220000,3.763507,0.000000,0.001277,0.075560,0.000000,-0.002164,-0.105182,4.268161,0.035993,0.618943,-50.108463,-0.000204,0.000726,0.000000,0.000000,0.000000,0.000000
1.230000,-5.775535,0.000000,0.001819,0.017804,0.000000,-0.001961,-0.024046,-6.721814,0.035267,0.149309,74.787605,-0.000192,0.001819,0.000000,0.000000,0.000000,0.000000
-7.610000,-10.335169,0.000000,-0.001382,-0.110155,0.000000,-0.002282,0.111466,-10.418324,0.039532,-0.198992,403.166382,0.000105,0.007092,0.000000,0.000000,0.000000,0.000000
0.300000,11.449745,0.000000,-0.001586,0.004343,0.000000,-0.002387,-0.006070,11.540040,0.032440,0.010836,-446.574371,0.000202,-0.008440,0.000000,0.000000,0.000000,0.000000
-1.810000,-3.054230,0.000000,-0.001203,-0.026200,0.000000,-0.002589,0.026140,-3.101983,0.040879,-0.063552,88.145851,0.000012,0.001513,0.000000,0.000000,0.000000,0.000000
