-0.000000,-0.000000,0.475725,0.129967,-0.000000,ovf,-0.000000,ovf,-0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf
2.050000,7.729664,0.000000,0.000771,0.029674,0.000000,-0.003323,-0.040925,8.769888,0.045408,0.240823,-102.959007,0.000055,-0.001300,0.000000,0.000000,0.000000,0.000000
-2.710000,-6.890112,0.000000,0.001233,-0.039227,0.000000,-0.003379,0.060863,-8.018637,0.046709,-0.377914,89.216187,0.000013,0.000669,0.000000,0.000000,0.000000,0.000000
-4.080000,-6.340061,0.000000,-0.001729,-0.059058,0.000000,-0.002674,0.058796,-6.391484,0.041722,-0.104965,247.336472,0.000038,0.004398,0.000000,0.000000,0.000000,0.000000
-2.730000,1.954129,0.000000,-0.001789,-0.039517,0.000000,-0.002712,0.038629,1.968789,0.037324,-0.068962,-76.187851,0.000142,-0.001637,0.000000,0.000000,0.000000,0.000000
-6.970000,-6.137410,0.000000,-0.001551,-0.100891,0.000000,-0.002854,0.103884,-6.231926,0.038961,-0.252561,177.086197,0.000163,0.002673,0.000000,0.000000,0.000000,0.000000
2.440000,13.620998,0.000000,-0.001522,0.035319,0.000000,-0.003017,-0.039597,13.957583,0.036288,0.120635,-316.506714,0.000157,-0.005672,0.000000,0.000000,0.000000,0.000000
-0.070000,-3.633231,0.000000,-0.001080,-0.001013,0.000000,-0.003173,-0.000074,-3.769023,0.041960,0.000267,71.817299,-0.000072,0.001371,0.000000,0.000000,0.000000,0.000000
-0.340000,-0.390826,0.000000,-0.000757,-0.004922,0.000000,-0.003102,0.004812,-0.413105,0.040589,-0.020039,6.853405,0.000005,0.000073,0.000000,0.000000,0.000000,0.000000
-1.740000,-2.026504,0.000000,-0.000452,-0.025187,0.000000,-0.003107,0.029871,-2.167476,0.040516,-0.139195,32.133625,0.000040,0.000232,0.000000,0.000000,0.000000,0.000000
-3.250000,-2.185729,0.000000,-0.000211,-0.047044,0.000000,-0.003147,0.059392,-2.380694,0.040284,-0.303581,32.176273,0.000116,-0.000212,0.000000,0.000000,0.000000,0.000000
-3.710000,-0.665851,0.000000,-0.000036,-0.053702,0.000000,-0.003262,0.071775,-0.742397,0.040496,-0.396149,9.292531,0.000180,-0.000895,0.000000,0.000000,0.000000,0.000000
-1.430000,3.300306,0.000000,0.000118,-0.020699,0.000000,-0.003442,0.029477,3.742722,0.041392,-0.173458,-43.939777,0.000150,-0.001300,0.000000,0.000000,0.000000,0.000000
-5.370000,-2.634455,0.000000,-0.001127,-0.077731,0.000000,-0.001873,0.078512,-2.656203,0.032749,-0.140162,102.789246,0.000162,0.001570,0.000000,0.000000,0.000000,0.000000
-2.760000,3.777981,0.000000,-0.001259,-0.039951,0.000000,-0.002035,0.039617,3.807281,0.031180,-0.070726,-147.333450,0.000179,-0.002984,0.000000,0.000000,0.000000,0.000000
-0.930000,2.648930,0.000000,-0.001058,-0.013462,0.000000,-0.002214,0.012971,2.688084,0.034164,-0.031535,-76.384499,0.000086,-0.001526,0.000000,0.000000,0.000000,0.000000
-6.480000,-8.033639,0.000000,-0.000780,-0.093798,0.000000,-0.002300,0.099976,-8.234430,0.035690,-0.304582,186.726654,0.000114,0.002715,0.000000,0.000000,0.000000,0.000000
7.570000,20.337410,0.000000,-0.000759,0.109576,0.000000,-0.002414,-0.122616,21.084898,0.032975,0.444556,-401.764709,0.000067,-0.006410,0.000000,0.000000,0.000000,0.000000
1.230000,-9.177166,0.000000,-0.000124,0.017804,0.000000,-0.002481,-0.020716,-9.650362,0.039385,0.086265,160.099350,-0.000239,0.003277,0.000000,0.000000,0.000000,0.000000
-5.590000,-9.871967,0.000000,0.000233,-0.080915,0.000000,-0.002242,0.097999,-10.548752,0.036108,-0.456663,156.389084,0.000066,0.001720,0.000000,0.000000,0.000000,0.000000
-5.430000,0.231601,0.000000,0.000300,-0.078599,0.000000,-0.002308,0.100056,0.249266,0.034388,-0.511438,-3.368958,0.000275,-0.001450,0.000000,0.000000,0.000000,0.000000
-6.250000,-1.186952,0.000000,0.000374,-0.090469,0.000000,-0.002583,0.121497,-1.320759,0.035839,-0.670577,16.531832,0.000303,-0.001498,0.000000,0.000000,0.000000,0.000000
2.020000,11.970846,0.000000,0.000416,0.029240,0.000000,-0.002887,-0.040813,13.585193,0.037337,0.240165,-159.490982,0.000146,-0.002368,0.000000,0.000000,0.000000,0.000000
12.590000,26.170847,0.000000,-0.001419,0.182241,0.000000,-0.002202,-0.187968,26.378153,0.034546,0.335566,-1020.776855,-0.000009,-0.018416,0.000000,0.000000,0.000000,0.000000
-3.090000,-22.696840,0.000000,-0.000844,-0.044728,0.000000,-0.002193,0.044933,-22.878675,0.052963,-0.080216,885.354797,-0.000312,0.016581,0.000000,0.000000,0.000000,0.000000
-1.190000,2.750255,0.000000,-0.000628,-0.017225,0.000000,-0.001881,0.017356,2.790832,0.036381,-0.042196,-79.304192,0.000100,-0.001646,0.000000,0.000000,0.000000,0.000000
-5.380000,-6.065036,0.000000,-0.000327,-0.077876,0.000000,-0.001981,0.083349,-6.217151,0.038028,-0.253928,140.982147,0.000108,0.001986,0.000000,0.000000,0.000000,0.000000
