0.475724,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,ovf,0.000000,ovf,-259390.359375,ovf,-0.000001,ovf,0.000000,-0.000000
-3.760000,-4.328032,0.000000,0.001423,-0.054426,0.000000,0.001343,0.057184,-4.362567,0.001837,-0.102087,168.821823,0.000072,0.002920,0.000000,0.000000,0.000000,0.000000
-8.870000,-7.396738,0.000000,0.001289,-0.128393,0.000000,0.001271,0.135613,-7.509239,-0.001084,-0.329702,213.382294,0.000225,0.003143,0.000000,0.000000,0.000000,0.000000
-1.070000,11.290520,0.000000,0.000924,-0.015488,0.000000,0.001046,0.017640,11.570713,-0.004227,-0.053741,-262.381287,0.000266,-0.005119,0.000000,0.000000,0.000000,0.000000
-8.740000,-11.102345,0.000000,0.000919,-0.126512,0.000000,0.000780,0.141613,-11.511503,0.000893,-0.513434,219.347336,0.000165,0.002774,0.000000,0.000000,0.000000,0.000000
5.220000,20.207136,0.000000,0.000580,0.075560,0.000000,0.000615,-0.086638,21.243862,-0.001881,0.360779,-352.435272,0.000168,-0.005703,0.000000,0.000000,0.000000,0.000000
-2.710000,-11.478695,0.000000,0.000852,-0.039227,0.000000,0.000448,0.048401,-12.263277,0.003821,-0.225544,181.807541,-0.000102,0.002843,0.000000,0.000000,0.000000,0.000000
2.940000,8.178390,0.000000,0.000788,0.042557,0.000000,0.000549,-0.052969,8.896670,0.000978,0.270750,-120.242973,0.000025,-0.001550,0.000000,0.000000,0.000000,0.000000
-1.530000,-6.470336,0.000000,0.000971,-0.022147,0.000000,0.000524,0.030918,-7.183708,0.002528,-0.170646,89.917900,-0.000052,0.001244,0.000000,0.000000,0.000000,0.000000
1.590000,4.516208,0.000000,0.000971,0.023015,0.000000,0.000576,-0.031214,5.125760,0.001284,0.183680,-60.176739,0.000013,-0.000645,0.000000,0.000000,0.000000,0.000000
1.430000,-0.231601,0.000000,0.001109,0.020699,0.000000,0.000564,-0.029470,-0.270462,0.001929,0.182985,3.009191,-0.000085,0.000553,0.000000,0.000000,0.000000,0.000000
-4.440000,-3.329256,0.000000,0.000475,-0.064269,0.000000,0.000204,0.066321,-3.356046,0.011191,-0.118399,129.871643,0.000116,0.002138,0.000000,0.000000,0.000000,0.000000
