-0.000000,0.000000,0.951464,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061451,-0.000000,-0.000000,0.000000,ovf,-251196.359375,ovf,-0.000000,ovf
-4.790000,-6.151886,0.000000,0.001399,-0.069335,0.000000,-0.001060,0.113386,-7.348020,0.020559,-0.736563,78.145020,0.000167,-0.000511,0.000000,0.000000,0.000000,0.000000
-3.440000,-13.838124,0.000000,-0.000627,-0.049794,0.000000,-0.001164,0.050398,-13.948755,0.023395,-0.089972,539.786316,-0.000128,0.009978,0.000000,0.000000,0.000000,0.000000
-2.860000,0.839552,0.000000,-0.000705,-0.041399,0.000000,-0.001036,0.041666,0.845915,0.013416,-0.074383,-32.735073,0.000129,-0.000839,0.000000,0.000000,0.000000,0.000000
-0.090000,4.009582,0.000000,-0.000693,-0.001303,0.000000,-0.001164,0.000637,4.070085,0.014256,-0.001550,-115.655388,0.000079,-0.002193,0.000000,0.000000,0.000000,0.000000
-2.050000,-2.837105,0.000000,-0.000556,-0.029674,0.000000,-0.001243,0.031295,-2.908144,0.016448,-0.095343,65.946037,0.000029,0.000995,0.000000,0.000000,0.000000,0.000000
-3.850000,-2.605505,0.000000,-0.000513,-0.055729,0.000000,-0.001272,0.061361,-2.702172,0.015453,-0.222472,51.488857,0.000115,0.000371,0.000000,0.000000,0.000000,0.000000
-2.920000,1.346177,0.000000,-0.000552,-0.042267,0.000000,-0.001387,0.048200,1.414498,0.015082,-0.200717,-23.466490,0.000157,-0.000988,0.000000,0.000000,0.000000,0.000000
-0.730000,3.170031,0.000000,-0.000556,-0.010567,0.000000,-0.001544,0.012090,3.385673,0.016070,-0.056336,-50.193821,0.000097,-0.001101,0.000000,0.000000,0.000000,0.000000
-1.020000,-0.419776,0.000000,-0.000470,-0.014765,0.000000,-0.001641,0.018128,-0.457712,0.017171,-0.092663,6.186203,0.000040,-0.000131,0.000000,0.000000,0.000000,0.000000
1.860000,4.168808,0.000000,-0.000399,0.026924,0.000000,-0.001681,-0.036543,4.626784,0.017303,0.201689,-57.913090,-0.000011,-0.000551,0.000000,0.000000,0.000000,0.000000
2.550000,0.998776,0.000000,-0.000211,0.036911,0.000000,-0.001670,-0.052563,1.132387,0.017853,0.309310,-13.294290,-0.000121,0.000586,0.000000,0.000000,0.000000,0.000000
5.940000,4.907034,0.000000,0.000005,0.085982,0.000000,-0.001549,-0.129333,5.705469,0.017267,0.803058,-63.479641,-0.000242,0.000969,0.000000,0.000000,0.000000,0.000000
-1.900000,-2.764730,0.000000,0.000904,-0.027503,0.000000,0.000574,0.029123,-2.787107,0.013353,-0.051992,107.854950,0.000026,0.001900,0.000000,0.000000,0.000000,0.000000
-9.920000,-11.608972,0.000000,0.000864,-0.143592,0.000000,0.000548,0.147908,-11.701634,0.011454,-0.264050,452.827606,0.000178,0.007857,0.000000,0.000000,0.000000,0.000000
3.570000,19.526810,0.000000,0.000518,0.051676,0.000000,0.000369,-0.053497,19.823429,0.003597,0.130062,-563.301880,0.000230,-0.010329,0.000000,0.000000,0.000000,0.000000
-0.770000,-6.282161,0.000000,0.000809,-0.011146,0.000000,0.000139,0.012849,-6.438765,0.013926,-0.039146,146.007553,-0.000088,0.002678,0.000000,0.000000,0.000000,0.000000
-0.580000,0.275025,0.000000,0.000908,-0.008396,0.000000,0.000226,0.010339,0.284373,0.011248,-0.037484,-5.418618,0.000034,-0.000209,0.000000,0.000000,0.000000,0.000000
0.220000,1.158002,0.000000,0.001021,0.003185,0.000000,0.000193,-0.002500,1.216429,0.011457,0.010411,-20.180546,0.000016,-0.000354,0.000000,0.000000,0.000000,0.000000
-1.850000,-2.996330,0.000000,0.001175,-0.026779,0.000000,0.000177,0.033759,-3.202224,0.011811,-0.157312,47.474140,0.000031,0.000474,0.000000,0.000000,0.000000,0.000000
-1.290000,0.810601,0.000000,0.001249,-0.018673,0.000000,0.000146,0.025264,0.880401,0.011337,-0.129136,-11.899059,0.000085,-0.000575,0.000000,0.000000,0.000000,0.000000
-3.710000,-3.502956,0.000000,0.001355,-0.053702,0.000000,0.000061,0.073635,-3.890498,0.011912,-0.406413,48.697052,0.000125,-0.000176,0.000000,0.000000,0.000000,0.000000
3.140000,9.915393,0.000000,0.001367,0.045452,0.000000,-0.000064,-0.062422,11.253428,0.012088,0.367324,-132.115906,0.000044,-0.001508,0.000000,0.000000,0.000000,0.000000
-4.380000,-26.807747,0.000000,-0.000353,-0.063401,0.000000,-0.000913,0.064613,-27.021557,0.024168,-0.115349,1045.675293,-0.000337,0.019491,0.000000,0.000000,0.000000,0.000000
-8.510000,-5.978186,0.000000,-0.000466,-0.123182,0.000000,-0.000576,0.125649,-6.025828,0.004678,-0.224312,233.186401,0.000226,0.003773,0.000000,0.000000,0.000000,0.000000
-5.510000,4.342508,0.000000,-0.000806,-0.079757,0.000000,-0.000803,0.082562,4.408551,0.000905,-0.200724,-125.273232,0.000306,-0.002922,0.000000,0.000000,0.000000,0.000000
6.550000,17.456881,0.000000,-0.001010,0.094811,0.000000,-0.001109,-0.102990,17.889999,0.003827,0.313763,-405.679443,0.000060,-0.006827,0.000000,0.000000,0.000000,0.000000
-1.500000,-11.652396,0.000000,-0.000677,-0.021713,0.000000,-0.001168,0.023377,-12.081988,0.010655,-0.084754,230.217697,-0.000166,0.004143,0.000000,0.000000,0.000000,0.000000
-0.170000,1.925179,0.000000,-0.000705,-0.002461,0.000000,-0.001003,0.002028,2.023767,0.006512,-0.008447,-33.574257,0.000044,-0.000666,0.000000,0.000000,0.000000,0.000000
2.180000,3.401631,0.000000,-0.000680,0.031556,0.000000,-0.001047,-0.038929,3.633738,0.007178,0.181403,-53.871490,-0.000037,-0.000528,0.000000,0.000000,0.000000,0.000000
4.180000,2.895005,0.000000,-0.000558,0.060506,0.000000,-0.001010,-0.077439,3.149121,0.007706,0.395827,-42.561943,-0.000150,0.000266,0.000000,0.000000,0.000000,0.000000
-5.460000,-13.953924,0.000000,-0.000356,-0.079034,0.000000,-0.000861,0.105226,-15.491096,0.007441,-0.580775,193.900833,-0.000008,0.002100,0.000000,0.000000,0.000000,0.000000
-4.670000,1.143527,0.000000,-0.000563,-0.067598,0.000000,-0.000852,0.094920,1.298016,0.005341,-0.558558,-15.238784,0.000281,-0.001803,0.000000,0.000000,0.000000,0.000000
-5.730000,-7.251988,0.000000,0.001551,-0.082942,0.000000,0.001558,0.086515,-7.309695,-0.001582,-0.154449,282.869202,0.000095,0.004942,0.000000,0.000000,0.000000,0.000000
-4.920000,1.172477,0.000000,0.001326,-0.071217,0.000000,0.001463,0.074276,1.181907,-0.006523,-0.132600,-45.737228,0.000223,-0.001234,0.000000,0.000000,0.000000,0.000000
-5.240000,-0.463201,0.000000,0.001102,-0.075849,0.000000,0.001240,0.080471,-0.470153,-0.005289,-0.195639,13.359860,0.000208,-0.000274,0.000000,0.000000,0.000000,0.000000
0.020000,7.613863,0.000000,0.000871,0.000290,0.000000,0.001032,0.000625,7.802874,-0.005015,-0.001904,-176.940521,0.000149,-0.003355,0.000000,0.000000,0.000000,0.000000
-0.770000,-1.143527,0.000000,0.000884,-0.011146,0.000000,0.000883,0.013369,-1.185745,-0.001660,-0.048470,22.593914,0.000013,0.000303,0.000000,0.000000,0.000000,0.000000
5.100000,8.496840,0.000000,0.000868,0.073823,0.000000,0.000869,-0.084298,8.932658,-0.001963,0.351036,-148.192657,-0.000059,-0.001857,0.000000,0.000000,0.000000,0.000000
-0.540000,-8.163915,0.000000,0.001112,-0.007817,0.000000,0.000928,0.010783,-8.721930,-0.000106,-0.050246,129.305771,-0.000136,0.002316,0.000000,0.000000,0.000000,0.000000
-3.300000,-3.995107,0.000000,0.001122,-0.047768,0.000000,0.001064,0.062000,-4.346563,-0.002422,-0.316911,58.745983,0.000086,0.000251,0.000000,0.000000,0.000000,0.000000
-0.690000,3.777982,0.000000,0.001023,-0.009988,0.000000,0.000978,0.014726,4.193673,-0.002673,-0.081277,-52.491867,0.000119,-0.001214,0.000000,0.000000,0.000000,0.000000
