0.473771,0.000569,0.000000,-0.064653,-0.000000,ovf,0.000003,-0.000000,-0.000000,-198.274826,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
0.960000,8.569216,0.000000,0.001527,0.013896,0.000000,-0.001559,-0.017514,9.723598,0.030959,0.103062,-114.155617,0.000136,-0.001881,0.000000,0.000000,0.000000,0.000000
-12.790000,-22.277063,0.000000,-0.001516,-0.185136,0.000000,-0.002410,0.188100,-22.455179,0.039363,-0.335802,868.966492,0.000083,0.015549,0.000000,0.000000,0.000000,0.000000
-7.940000,7.020387,0.000000,-0.001922,-0.114932,0.000000,-0.002493,0.115710,7.075695,0.023814,-0.206569,-273.813934,0.000447,-0.005772,0.000000,0.000000,0.000000,0.000000
-7.630000,0.448726,0.000000,-0.001985,-0.110444,0.000000,-0.002940,0.113419,0.454683,0.029587,-0.275744,-12.920249,0.000315,-0.000980,0.000000,0.000000,0.000000,0.000000
-8.060000,-0.622426,0.000000,-0.002049,-0.116669,0.000000,-0.003254,0.123194,-0.638922,0.030567,-0.375315,14.488408,0.000321,-0.000739,0.000000,0.000000,0.000000,0.000000
0.740000,12.738023,0.000000,-0.002147,0.010712,0.000000,-0.003575,-0.014290,13.205995,0.031306,0.051808,-251.635223,0.000211,-0.004623,0.000000,0.000000,0.000000,0.000000
-0.890000,-2.359429,0.000000,-0.001872,-0.012883,0.000000,-0.003786,0.012723,-2.482108,0.035929,-0.052981,41.178135,-0.000013,0.000645,0.000000,0.000000,0.000000,0.000000
-0.960000,-0.101325,0.000000,-0.001682,-0.013896,0.000000,-0.003773,0.014750,-0.109987,0.035284,-0.068735,1.630601,0.000038,-0.000156,0.000000,0.000000,0.000000,0.000000
4.420000,7.787564,0.000000,-0.001507,0.063980,0.000000,-0.003811,-0.083047,8.470049,0.035440,0.424497,-114.476967,-0.000064,-0.001019,0.000000,0.000000,0.000000,0.000000
0.150000,4.834659,0.000000,0.000425,0.002171,0.000000,-0.000028,-0.001739,4.872595,0.018972,0.003104,-188.558807,0.000088,-0.003560,0.000000,0.000000,0.000000,0.000000
2.210000,2.981855,0.000000,0.000478,0.031990,0.000000,-0.000116,-0.032265,3.004965,0.022532,0.057601,-116.285576,-0.000031,-0.002039,0.000000,0.000000,0.000000,0.000000
-2.240000,-6.441386,0.000000,0.000815,-0.032424,0.000000,-0.000085,0.034759,-6.540228,0.024572,-0.084506,185.846893,-0.000030,0.003294,0.000000,0.000000,0.000000,0.000000
-9.570000,-10.610194,0.000000,0.000949,-0.138526,0.000000,-0.000056,0.149908,-10.874530,0.021278,-0.456701,246.594391,0.000200,0.003428,0.000000,0.000000,0.000000,0.000000
3.740000,19.266258,0.000000,0.000757,0.054137,0.000000,-0.000255,-0.059320,19.974768,0.017850,0.215072,-380.611633,0.000217,-0.006631,0.000000,0.000000,0.000000,0.000000
-0.430000,-6.036086,0.000000,0.001159,-0.006224,0.000000,-0.000473,0.008531,-6.347594,0.024481,-0.035526,105.306488,-0.000098,0.001910,0.000000,0.000000,0.000000,0.000000
-2.950000,-3.647707,0.000000,0.001386,-0.042701,0.000000,-0.000375,0.053241,-3.898896,0.022571,-0.248099,57.802547,0.000070,0.000420,0.000000,0.000000,0.000000,0.000000
-4.080000,-1.635678,0.000000,0.001514,-0.059058,0.000000,-0.000445,0.076814,-1.781789,0.022151,-0.392637,24.081774,0.000174,-0.000607,0.000000,0.000000,0.000000,0.000000
7.400000,16.617331,0.000000,0.001603,0.107115,0.000000,-0.000619,-0.141115,18.444685,0.022758,0.778857,-230.870651,-0.000033,-0.002264,0.000000,0.000000,0.000000,0.000000
7.940000,0.781651,0.000000,0.002187,0.114932,0.000000,-0.000587,-0.159642,0.883606,0.025022,0.939413,-10.373582,-0.000415,0.002349,0.000000,0.000000,0.000000,0.000000
3.410000,-6.557187,0.000000,0.002807,0.049360,0.000000,-0.000172,-0.070028,-7.630596,0.022673,0.434817,84.898804,-0.000333,0.002779,0.000000,0.000000,0.000000,0.000000
-4.990000,-2.533129,0.000000,-0.001266,-0.072230,0.000000,-0.002170,0.072754,-2.554243,0.039608,-0.129883,98.843636,0.000149,0.001515,0.000000,0.000000,0.000000,0.000000
-1.250000,5.413660,0.000000,-0.001367,-0.018094,0.000000,-0.002319,0.017127,5.455794,0.038093,-0.030575,-211.127319,0.000149,-0.004083,0.000000,0.000000,0.000000,0.000000
