0.475725,0.129959,0.000000,ovf,-0.000000,ovf,-0.000003,-0.061419,-0.000000,-198.399826,0.000000,ovf,-259386.359375,ovf,-0.000001,ovf,0.000000,-0.000000
1.610000,4.530683,0.000000,0.001825,0.023305,0.000000,-0.001942,-0.030415,5.138463,0.037936,0.178975,-60.325874,0.000015,-0.000659,0.000000,0.000000,0.000000,0.000000
-1.630000,-4.689909,0.000000,0.002274,-0.023594,0.000000,-0.001957,0.038912,-5.459879,0.038595,-0.241615,60.747185,0.000002,0.000498,0.000000,0.000000,0.000000,0.000000
-2.490000,-1.939654,0.000000,-0.002181,-0.036043,0.000000,-0.003212,0.034776,-1.956164,0.045758,-0.062083,75.699265,0.000057,0.001265,0.000000,0.000000,0.000000,0.000000
-4.800000,-3.343731,0.000000,-0.002170,-0.069480,0.000000,-0.003269,0.068918,-3.371371,0.044493,-0.123035,130.464676,0.000122,0.002135,0.000000,0.000000,0.000000,0.000000
-7.870000,-4.443832,0.000000,-0.001988,-0.113918,0.000000,-0.003392,0.117049,-4.512688,0.042358,-0.284569,128.232391,0.000231,0.001654,0.000000,0.000000,0.000000,0.000000
3.120000,15.908052,0.000000,-0.001965,0.045162,0.000000,-0.003623,-0.050652,16.301254,0.040704,0.154313,-369.652527,0.000171,-0.006585,0.000000,0.000000,0.000000,0.000000
3.600000,0.694801,0.000000,-0.001458,0.052110,0.000000,-0.003794,-0.059531,0.718219,0.047289,0.215835,-13.685383,-0.000148,0.000337,0.000000,0.000000,0.000000,0.000000
7.730000,5.978186,0.000000,-0.000943,0.111892,0.000000,-0.003646,-0.130378,6.282355,0.046952,0.542926,-104.224167,-0.000233,-0.000505,0.000000,0.000000,0.000000,0.000000
-2.880000,-15.358003,0.000000,-0.000256,-0.041688,0.000000,-0.003413,0.050035,-16.410067,0.047457,-0.233159,243.285187,-0.000175,0.003977,0.000000,0.000000,0.000000,0.000000
2.880000,8.337615,0.000000,-0.000026,0.041688,0.000000,-0.003238,-0.052901,9.067135,0.043481,0.270401,-122.546890,0.000029,-0.001596,0.000000,0.000000,0.000000,0.000000
-2.190000,-7.338839,0.000000,0.000447,-0.031700,0.000000,-0.003267,0.042995,-8.150953,0.045077,-0.237304,102.024826,-0.000038,0.001293,0.000000,0.000000,0.000000,0.000000
0.530000,3.937207,0.000000,0.000709,0.007672,0.000000,-0.003229,-0.009859,4.465075,0.043784,0.058016,-52.420254,0.000058,-0.000838,0.000000,0.000000,0.000000,0.000000
3.310000,4.024057,0.000000,0.001089,0.047912,0.000000,-0.003287,-0.070435,4.675172,0.044622,0.437349,-52.016464,-0.000102,0.000200,0.000000,0.000000,0.000000,0.000000
-3.610000,-4.704383,0.000000,-0.001814,-0.052255,0.000000,-0.002750,0.051743,-4.742785,0.041418,-0.092372,183.535446,0.000050,0.003225,0.000000,0.000000,0.000000,0.000000
0.310000,5.674210,0.000000,-0.001857,0.004487,0.000000,-0.002800,-0.006496,5.718437,0.038193,0.011596,-221.291046,0.000091,-0.004165,0.000000,0.000000,0.000000,0.000000
-0.920000,-1.780428,0.000000,-0.001464,-0.013317,0.000000,-0.002891,0.012395,-1.808849,0.042357,-0.030134,51.400188,-0.000001,0.000899,0.000000,0.000000,0.000000,0.000000
0.420000,1.939654,0.000000,-0.001141,0.006080,0.000000,-0.002890,-0.007761,1.986117,0.041458,0.023644,-45.037834,0.000017,-0.000790,0.000000,0.000000,0.000000,0.000000
-0.150000,-0.825076,0.000000,-0.000766,-0.002171,0.000000,-0.002907,0.001561,-0.857520,0.042248,-0.005661,16.339727,-0.000012,0.000296,0.000000,0.000000,0.000000,0.000000
0.380000,0.767176,0.000000,-0.000423,0.005501,0.000000,-0.002895,-0.006844,0.804132,0.041953,0.028501,-13.340538,-0.000003,-0.000176,0.000000,0.000000,0.000000,0.000000
3.740000,4.863608,0.000000,-0.000060,0.054137,0.000000,-0.002891,-0.065450,5.192976,0.042129,0.304991,-76.987762,-0.000079,-0.000632,0.000000,0.000000,0.000000,0.000000
1.740000,-2.895005,0.000000,0.000445,0.025187,0.000000,-0.002813,-0.031376,-3.152801,0.042761,0.160377,42.611687,-0.000144,0.001242,0.000000,0.000000,0.000000,0.000000
-1.710000,-4.993884,0.000000,0.000868,-0.024752,0.000000,-0.002668,0.034265,-5.547704,0.041520,-0.189119,69.440170,-0.000012,0.000801,0.000000,0.000000,0.000000,0.000000
