-0.000000,0.000000,0.000000,0.000508,0.000000,ovf,-0.000000,ovf,0.000003,-0.061419,-0.000000,-0.000000,0.000000,ovf,-16600855.000000,ovf,-0.000001,ovf
4.150000,10.581244,0.000000,-0.001507,0.060071,0.000000,-0.003073,-0.068432,10.969570,0.032706,0.248108,-209.021011,0.000022,-0.003287,0.000000,0.000000,0.000000,0.000000
0.600000,-5.138634,0.000000,-0.001069,0.008685,0.000000,-0.003095,-0.011271,-5.404145,0.035993,0.046935,89.654663,-0.000133,0.001831,0.000000,0.000000,0.000000,0.000000
-1.030000,-2.359429,0.000000,-0.000794,-0.014909,0.000000,-0.002962,0.017046,-2.522583,0.034162,-0.079431,37.398201,-0.000001,0.000490,0.000000,0.000000,0.000000,0.000000
0.540000,2.272579,0.000000,-0.000595,0.007817,0.000000,-0.002961,-0.010667,2.470091,0.033672,0.054526,-33.384525,0.000018,-0.000486,0.000000,0.000000,0.000000,0.000000
-1.780000,-3.358206,0.000000,-0.000334,-0.025766,0.000000,-0.002979,0.034013,-3.730587,0.034158,-0.187729,46.695457,0.000021,0.000377,0.000000,0.000000,0.000000,0.000000
1.460000,4.689908,0.000000,-0.000174,0.021134,0.000000,-0.003000,-0.030170,5.320981,0.033781,0.177536,-62.468624,0.000019,-0.000703,0.000000,0.000000,0.000000,0.000000
-0.210000,-2.417329,0.000000,0.000121,-0.003040,0.000000,-0.003019,0.004754,-2.814626,0.034484,-0.029521,31.315821,-0.000040,0.000514,0.000000,0.000000,0.000000,0.000000
-2.680000,0.984302,0.000000,-0.000325,-0.038793,0.000000,-0.000892,0.039448,0.991510,0.024465,-0.070423,-38.369270,0.000126,-0.000918,0.000000,0.000000,0.000000,0.000000
-0.940000,2.518655,0.000000,-0.000370,-0.013607,0.000000,-0.001017,0.013553,2.538047,0.025383,-0.024195,-98.216866,0.000084,-0.001923,0.000000,0.000000,0.000000,0.000000
-5.270000,-6.267685,0.000000,-0.000147,-0.076283,0.000000,-0.001102,0.079618,-6.363897,0.027307,-0.193566,180.836304,0.000095,0.002904,0.000000,0.000000,0.000000,0.000000
-1.660000,5.225484,0.000000,-0.000130,-0.024029,0.000000,-0.001197,0.025687,5.354082,0.024402,-0.078256,-121.410912,0.000171,-0.002516,0.000000,0.000000,0.000000,0.000000
-2.120000,-0.665851,0.000000,0.000050,-0.030687,0.000000,-0.001367,0.034159,-0.691799,0.026918,-0.123845,13.181964,0.000079,-0.000081,0.000000,0.000000,0.000000,0.000000
3.090000,7.541488,0.000000,0.000209,0.044728,0.000000,-0.001446,-0.051440,7.926736,0.026999,0.214209,-131.504410,0.000011,-0.001910,0.000000,0.000000,0.000000,0.000000
-2.250000,-7.729663,0.000000,0.000595,-0.032569,0.000000,-0.001457,0.040050,-8.259779,0.028910,-0.186630,122.454224,-0.000048,0.001817,0.000000,0.000000,0.000000,0.000000
0.490000,3.966157,0.000000,0.000755,0.007093,0.000000,-0.001409,-0.008037,4.312343,0.027092,0.041081,-58.283489,0.000060,-0.000996,0.000000,0.000000,0.000000,0.000000
1.930000,2.084404,0.000000,0.001036,0.027937,0.000000,-0.001469,-0.035977,2.311110,0.028088,0.198570,-28.927979,-0.000054,-0.000009,0.000000,0.000000,0.000000,0.000000
2.120000,0.275025,0.000000,0.001385,0.030687,0.000000,-0.001415,-0.041491,0.308818,0.028097,0.244155,-3.625546,-0.000106,0.000592,0.000000,0.000000,0.000000,0.000000
5.420000,20.076859,0.000000,-0.001125,0.078455,0.000000,-0.001911,-0.081399,20.235687,0.034435,0.145317,-783.076904,0.000163,-0.014436,0.000000,0.000000,0.000000,0.000000
-1.660000,-10.248318,0.000000,-0.000830,-0.024029,0.000000,-0.002074,0.023753,-10.331044,0.048871,-0.042404,399.788849,-0.000132,0.007482,0.000000,0.000000,0.000000,0.000000
-4.380000,-3.937207,0.000000,-0.000508,-0.063401,0.000000,-0.001942,0.065769,-3.998461,0.041389,-0.159897,113.620125,0.000102,0.001705,0.000000,0.000000,0.000000,0.000000
-0.480000,5.645260,0.000000,-0.000317,-0.006948,0.000000,-0.002044,0.007128,5.783626,0.039684,-0.021714,-131.151382,0.000129,-0.002545,0.000000,0.000000,0.000000,0.000000
