0.236882,0.129960,0.000000,nan,-0.000000,ovf,0.000003,-0.000000,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000001,ovf,0.000000,-0.000000
-1.170000,-7.237513,0.000000,0.000254,-0.016936,0.000000,-0.001292,0.020759,-7.733437,0.022266,-0.096734,114.651001,-0.000090,0.001906,0.000000,0.000000,0.000000,0.000000
1.360000,3.662181,0.000000,0.000386,0.019686,0.000000,-0.001202,-0.024475,3.982329,0.020360,0.125106,-53.823174,0.000009,-0.000684,0.000000,0.000000,0.000000,0.000000
-1.490000,-4.125382,0.000000,0.000629,-0.021568,0.000000,-0.001211,0.029686,-4.581775,0.021044,-0.163847,57.349724,-0.000006,0.000644,0.000000,0.000000,0.000000,0.000000
-0.120000,1.983078,0.000000,0.000754,-0.001737,0.000000,-0.001205,0.003528,2.248812,0.020401,-0.020759,-26.401192,0.000052,-0.000557,0.000000,0.000000,0.000000,0.000000
-1.190000,7.932314,0.000000,-0.000138,-0.017225,0.000000,-0.000670,0.017552,7.994813,0.022796,-0.031335,-309.381836,0.000199,-0.005942,0.000000,0.000000,0.000000,0.000000
-3.500000,-3.343731,0.000000,-0.000129,-0.050663,0.000000,-0.000869,0.051741,-3.371060,0.028738,-0.092370,130.452652,0.000076,0.002231,0.000000,0.000000,0.000000,0.000000
-4.420000,-1.331702,0.000000,-0.000012,-0.063980,0.000000,-0.000944,0.066893,-1.352875,0.026507,-0.162630,38.443249,0.000155,0.000284,0.000000,0.000000,0.000000,0.000000
-1.580000,4.110907,0.000000,0.000061,-0.022871,0.000000,-0.001099,0.024647,4.211742,0.026223,-0.075088,-95.506836,0.000146,-0.002012,0.000000,0.000000,0.000000,0.000000
-1.340000,0.347401,0.000000,0.000262,-0.019397,0.000000,-0.001246,0.021847,0.358659,0.028235,-0.079209,-6.834105,0.000066,-0.000340,0.000000,0.000000,0.000000,0.000000
3.550000,7.078287,0.000000,0.000475,0.051386,0.000000,-0.001311,-0.058827,7.439597,0.028575,0.244968,-123.422783,-0.000018,-0.001674,0.000000,0.000000,0.000000,0.000000
-1.900000,-7.888889,0.000000,0.000903,-0.027503,0.000000,-0.001293,0.034303,-8.430088,0.030248,-0.159850,124.979103,-0.000067,0.001937,0.000000,0.000000,0.000000,0.000000
-1.070000,1.201427,0.000000,0.001102,-0.015488,0.000000,-0.001226,0.021039,1.304387,0.028311,-0.107539,-17.629452,0.000082,-0.000628,0.000000,0.000000,0.000000,0.000000
3.010000,5.905810,0.000000,0.001343,0.043570,0.000000,-0.001308,-0.056476,6.553131,0.028939,0.311705,-82.025024,-0.000029,-0.000709,0.000000,0.000000,0.000000,0.000000
-3.670000,-9.669317,0.000000,0.001765,-0.053123,0.000000,-0.001279,0.077720,-10.979873,0.029648,-0.457342,128.904358,0.000002,0.001205,0.000000,0.000000,0.000000,0.000000
1.980000,8.178390,0.000000,0.001918,0.028661,0.000000,-0.001281,-0.040228,9.507541,0.028443,0.249785,-105.781898,0.000071,-0.001330,0.000000,0.000000,0.000000,0.000000
-5.450000,-10.754944,0.000000,0.002320,-0.078889,0.000000,-0.001353,0.130176,-12.845364,0.029773,-0.845629,136.608383,0.000109,0.000302,0.000000,0.000000,0.000000,0.000000
-2.410000,-1.273802,0.000000,-0.001558,-0.034885,0.000000,-0.002375,0.034208,-1.284796,0.036118,-0.061068,49.718815,0.000068,0.000776,0.000000,0.000000,0.000000,0.000000
-1.260000,1.664628,0.000000,-0.001566,-0.018239,0.000000,-0.002443,0.017071,1.677027,0.035343,-0.030476,-64.897301,0.000078,-0.001313,0.000000,0.000000,0.000000,0.000000
-6.480000,-7.555963,0.000000,-0.001287,-0.093798,0.000000,-0.002520,0.096743,-7.671983,0.036655,-0.235199,218.006790,0.000116,0.003494,0.000000,0.000000,0.000000,0.000000
1.270000,11.218145,0.000000,-0.001262,0.018383,0.000000,-0.002637,-0.021115,11.495211,0.033161,0.064328,-260.669098,0.000160,-0.004768,0.000000,0.000000,0.000000,0.000000
-2.110000,-4.892559,0.000000,-0.000896,-0.030542,0.000000,-0.002797,0.032946,-5.074560,0.037930,-0.119448,96.693810,-0.000007,0.001517,0.000000,0.000000,0.000000,0.000000
0.640000,3.980632,0.000000,-0.000687,0.009264,0.000000,-0.002790,-0.011499,4.182873,0.036413,0.047883,-69.393784,0.000048,-0.001187,0.000000,0.000000,0.000000,0.000000
-2.890000,-5.109684,0.000000,-0.000364,-0.041833,0.000000,-0.002838,0.050079,-5.461076,0.037600,-0.233363,80.962440,0.000032,0.000904,0.000000,0.000000,0.000000,0.000000
