-0.237863,0.129959,-0.000000,ovf,-0.000000,ovf,0.000003,-0.061435,-0.000000,-0.000000,0.000000,ovf,ovf,ovf,-0.000011,ovf,0.000000,-0.000000
1.230000,7.946789,0.000000,-0.001222,0.017804,0.000000,-0.001987,-0.019481,8.009254,0.030713,0.034778,-309.940613,0.000099,-0.005798,0.000000,0.000000,0.000000,0.000000
3.130000,2.750255,0.000000,-0.000838,0.045307,0.000000,-0.002086,-0.048255,2.790847,0.036510,0.117318,-79.304611,-0.000078,-0.001174,0.000000,0.000000,0.000000,0.000000
1.400000,-2.504179,0.000000,-0.000372,0.020265,0.000000,-0.002008,-0.022181,-2.567921,0.037684,0.067576,58.231018,-0.000108,0.001288,0.000000,0.000000,0.000000,0.000000
1.500000,0.144750,0.000000,0.000011,0.021713,0.000000,-0.001900,-0.024116,0.148169,0.036396,0.087437,-2.823307,-0.000062,0.000181,0.000000,0.000000,0.000000,0.000000
5.120000,5.239959,0.000000,0.000399,0.074112,0.000000,-0.001838,-0.085174,5.506510,0.036216,0.354683,-91.352898,-0.000126,-0.000771,0.000000,0.000000,0.000000,0.000000
-4.710000,-14.228951,0.000000,0.000946,-0.068177,0.000000,-0.001712,0.083476,-15.203650,0.036986,-0.388989,225.399628,-0.000062,0.003217,0.000000,0.000000,0.000000,0.000000
-4.140000,0.825077,0.000000,0.001076,-0.059927,0.000000,-0.001650,0.077361,0.894571,0.033769,-0.395433,-12.090576,0.000226,-0.001305,0.000000,0.000000,0.000000,0.000000
-3.040000,1.592253,0.000000,0.001238,-0.044004,0.000000,-0.001876,0.060509,1.764080,0.035074,-0.333967,-22.080849,0.000197,-0.001319,0.000000,0.000000,0.000000,0.000000
0.920000,5.732111,0.000000,0.001454,0.013317,0.000000,-0.002073,-0.016797,6.502655,0.036393,0.098842,-76.341560,0.000077,-0.001176,0.000000,0.000000,0.000000,0.000000
3.790000,6.890112,0.000000,-0.002115,0.054860,0.000000,-0.003065,-0.058240,6.943913,0.042232,0.103972,-268.714264,-0.000026,-0.004805,0.000000,0.000000,0.000000,0.000000
-5.060000,-12.810397,0.000000,-0.001867,-0.073244,0.000000,-0.003039,0.073082,-12.913404,0.047037,-0.130469,499.720551,-0.000047,0.009118,0.000000,0.000000,0.000000,0.000000
-2.410000,3.835881,0.000000,-0.001733,-0.034885,0.000000,-0.002992,0.034668,3.893005,0.037919,-0.084284,-110.623482,0.000168,-0.002339,0.000000,0.000000,0.000000,0.000000
-3.580000,-1.693578,0.000000,-0.001488,-0.051821,0.000000,-0.003160,0.054098,-1.737160,0.040258,-0.164812,39.392395,0.000113,0.000304,0.000000,0.000000,0.000000,0.000000
4.060000,11.058919,0.000000,-0.001307,0.058769,0.000000,-0.003273,-0.066762,11.464416,0.039954,0.242051,-218.450104,0.000036,-0.003482,0.000000,0.000000,0.000000,0.000000
-1.750000,-8.409989,0.000000,-0.000798,-0.025331,0.000000,-0.003309,0.028348,-8.843872,0.043436,-0.118046,146.719696,-0.000091,0.002465,0.000000,0.000000,0.000000,0.000000
-0.040000,2.475229,0.000000,-0.000549,-0.000579,0.000000,-0.003218,0.000036,2.641733,0.040971,-0.000169,-39.164661,0.000050,-0.000747,0.000000,0.000000,0.000000,0.000000
-0.690000,-0.940877,0.000000,-0.000230,-0.009988,0.000000,-0.003268,0.012374,-1.026539,0.041717,-0.063248,13.874187,0.000014,0.000093,0.000000,0.000000,0.000000,0.000000
-3.810000,-4.516208,0.000000,0.000058,-0.055150,0.000000,-0.003282,0.073837,-5.016951,0.041624,-0.407525,62.796776,0.000105,0.000087,0.000000,0.000000,0.000000,0.000000
-2.270000,2.229154,0.000000,0.000214,-0.032858,0.000000,-0.003387,0.046829,2.526727,0.041538,-0.275566,-29.663927,0.000174,-0.001307,0.000000,0.000000,0.000000,0.000000
4.930000,19.425484,0.000000,-0.001046,0.071362,0.000000,-0.001810,-0.074059,19.579155,0.033450,0.132212,-757.670471,0.000170,-0.013986,0.000000,0.000000,0.000000,0.000000
