ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-12998235.000000,0.000000,ovf,-1037553.437500,ovf,-0.000001,ovf,0.000000,-0.000000,ovf,ovf,ovf
4.960000,11.782671,0.000000,0.000177,0.071796,0.000000,-0.002455,-0.101409,13.372356,0.030290,0.596745,-156.992264,-0.000022,-0.001354,0.000000,0.000000,0.000000,0.000000
0.190000,4.603058,0.000000,-0.000439,0.002750,0.000000,-0.001071,-0.003198,4.638978,0.027320,0.005710,-179.518326,0.000079,-0.003381,0.000000,0.000000,0.000000,0.000000
-3.170000,-4.863609,0.000000,-0.000365,-0.045886,0.000000,-0.001150,0.046608,-4.903065,0.030701,-0.083207,189.737885,0.000033,0.003374,0.000000,0.000000,0.000000,0.000000
-2.860000,0.448726,0.000000,-0.000232,-0.041399,0.000000,-0.001183,0.043050,0.454605,0.027327,-0.104662,-12.918052,0.000125,-0.000534,0.000000,0.000000,0.000000,0.000000
-4.390000,-2.214679,0.000000,-0.000085,-0.063545,0.000000,-0.001308,0.068207,-2.270846,0.027861,-0.207796,51.494453,0.000141,0.000414,0.000000,0.000000,0.000000,0.000000
-2.640000,2.533129,0.000000,-0.000010,-0.038214,0.000000,-0.001449,0.042456,2.624990,0.027447,-0.153929,-50.018188,0.000164,-0.001364,0.000000,0.000000,0.000000,0.000000
-1.300000,1.939654,0.000000,0.000142,-0.018818,0.000000,-0.001614,0.021907,2.037395,0.028812,-0.091228,-33.800343,0.000098,-0.000884,0.000000,0.000000,0.000000,0.000000
2.160000,5.008359,0.000000,0.000352,0.031266,0.000000,-0.001711,-0.037333,5.348296,0.029696,0.173966,-79.290428,0.000000,-0.001029,0.000000,0.000000,0.000000,0.000000
-5.510000,-11.102345,0.000000,0.000713,-0.079757,0.000000,-0.001711,0.102049,-12.080654,0.030725,-0.521622,163.276123,0.000047,0.001683,0.000000,0.000000,0.000000,0.000000
-1.000000,6.528237,0.000000,0.000751,-0.014475,0.000000,-0.001759,0.020364,7.244449,0.029042,-0.112395,-90.678177,0.000192,-0.002024,0.000000,0.000000,0.000000,0.000000
11.010000,17.384506,0.000000,0.000985,0.159370,0.000000,-0.001951,-0.224268,19.730621,0.031067,1.319705,-231.638687,-0.000233,-0.000813,0.000000,0.000000,0.000000,0.000000
-2.170000,-17.326605,0.000000,-0.000863,-0.031411,0.000000,-0.001720,0.031368,-17.465328,0.037257,-0.055998,675.869934,-0.000245,0.012648,0.000000,0.000000,0.000000,0.000000
