ovf,-0.000000,ovf,0.000003,-0.000000,-0.000000,-50759.355469,0.000000,ovf,ovf,ovf,-0.000000,ovf,0.000000,-0.000000,ovf,ovf,ovf
-3.560000,-6.397961,0.000000,0.001149,-0.051531,0.000000,0.001682,0.055090,-6.494725,-0.016564,-0.133933,184.553879,0.000026,0.003144,0.000000,0.000000,0.000000,0.000000
-4.180000,-0.897451,0.000000,0.000846,-0.060506,0.000000,0.001656,0.065941,-0.918972,-0.019708,-0.200891,20.838907,0.000161,-0.000155,0.000000,0.000000,0.000000,0.000000
-4.350000,-0.246076,0.000000,0.000521,-0.062966,0.000000,0.001495,0.070554,-0.254223,-0.019554,-0.255799,4.844127,0.000186,-0.000600,0.000000,0.000000,0.000000,0.000000
-4.200000,0.217126,0.000000,0.000193,-0.060795,0.000000,0.001309,0.070470,0.229352,-0.018954,-0.293454,-3.804951,0.000195,-0.000865,0.000000,0.000000,0.000000,0.000000
-3.710000,0.709276,0.000000,-0.000127,-0.053702,0.000000,0.001115,0.064700,0.758988,-0.018089,-0.301493,-11.252279,0.000189,-0.001027,0.000000,0.000000,0.000000,0.000000
-6.430000,-3.937207,0.000000,-0.000427,-0.093074,0.000000,0.000926,0.117492,-4.281749,-0.017062,-0.600558,57.869980,0.000236,-0.000527,0.000000,0.000000,0.000000,0.000000
-5.260000,1.693577,0.000000,-0.000845,-0.076139,0.000000,0.000689,0.100701,1.881915,-0.016535,-0.555796,-23.555786,0.000308,-0.001948,0.000000,0.000000,0.000000,0.000000
0.160000,7.845465,0.000000,-0.001219,0.002316,0.000000,0.000382,-0.005005,8.907862,-0.014587,0.029452,-104.578835,0.000155,-0.001897,0.000000,0.000000,0.000000,0.000000
9.930000,1.143527,0.000000,0.002932,0.143737,0.000000,0.003366,-0.144209,1.153024,-0.020884,0.257446,-44.619514,-0.000369,-0.000145,0.000000,0.000000,0.000000,0.000000
-3.750000,-19.801836,0.000000,0.003275,-0.054281,0.000000,0.003734,0.058932,-19.958935,-0.020739,-0.105206,772.367249,-0.000218,0.014340,0.000000,0.000000,0.000000,0.000000
1.330000,7.353313,0.000000,0.002842,0.019252,0.000000,0.003952,-0.017160,7.466057,-0.035080,0.041720,-212.155258,0.000095,-0.003931,0.000000,0.000000,0.000000,0.000000
0.070000,-1.823853,0.000000,0.002669,0.001013,0.000000,0.003857,0.001780,-1.868119,-0.031149,-0.005421,42.362068,-0.000031,0.000795,0.000000,0.000000,0.000000,0.000000
-2.910000,-4.313558,0.000000,0.002457,-0.042122,0.000000,0.003888,0.049541,-4.471276,-0.031944,-0.179617,85.198463,0.000049,0.001126,0.000000,0.000000,0.000000,0.000000
1.080000,5.775535,0.000000,0.002132,0.015633,0.000000,0.003838,-0.015601,6.073239,-0.033070,0.064964,-100.754921,0.000073,-0.001734,0.000000,0.000000,0.000000,0.000000
1.750000,0.969827,0.000000,0.001995,0.025331,0.000000,0.003765,-0.028182,1.037423,-0.031335,0.131326,-15.380171,-0.000057,0.000067,0.000000,0.000000,0.000000,0.000000
-2.200000,-5.717635,0.000000,0.001901,-0.031845,0.000000,0.003822,0.042795,-6.218699,-0.031403,-0.218746,84.048836,-0.000002,0.001000,0.000000,0.000000,0.000000,0.000000
2.020000,6.108461,0.000000,0.001652,0.029240,0.000000,0.003824,-0.036896,6.782819,-0.032402,0.203641,-84.900002,0.000029,-0.001059,0.000000,0.000000,0.000000,0.000000
2.310000,0.419776,0.000000,0.001594,0.033437,0.000000,0.003795,-0.045089,0.478046,-0.031344,0.265327,-5.612286,-0.000113,0.000613,0.000000,0.000000,0.000000,0.000000
11.710000,13.606524,0.000000,0.001559,0.169503,0.000000,0.003908,-0.252634,15.826350,-0.031957,1.568659,-176.085648,-0.000383,0.000908,0.000000,0.000000,0.000000,0.000000
